id,attit,expo,age,age11,age13,age11s,age13s,ind1,ind2,ind3,ind4,ind5,female,minority,income
       3,.11,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,3
       3,.2,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,3
       3,0,-.37,13,2,0,4,0,0,0,1,0,0,1,0,3
       3,0,-.27,14,3,1,9,1,0,0,0,1,0,1,0,3
       3,.11,-.17,15,4,2,16,4,0,0,0,0,1,1,0,3
       8,.29,.42,11,0,-2,0,4,1,0,0,0,0,0,0,4
       8,.29,.2,12,1,-1,1,1,0,1,0,0,0,0,0,4
       8,.11,.42,13,2,0,4,0,0,0,1,0,0,0,0,4
       8,.51,.2,14,3,1,9,1,0,0,0,1,0,0,0,4
       8,.69,.2,15,4,2,16,4,0,0,0,0,1,0,0,4
       9,.8,.47,11,0,-2,0,4,1,0,0,0,0,0,0,3
       9,.58,.52,12,1,-1,1,1,0,1,0,0,0,0,0,3
       9,.64,.2,13,2,0,4,0,0,0,1,0,0,0,0,3
       9,.75,.47,14,3,1,9,1,0,0,0,1,0,0,0,3
       9,.98,.47,15,4,2,16,4,0,0,0,0,1,0,0,3
      15,.44,.07,11,0,-2,0,4,1,0,0,0,0,0,0,4
      15,.44,.32,12,1,-1,1,1,0,1,0,0,0,0,0,4
      15,.89,.47,13,2,0,4,0,0,0,1,0,0,0,0,4
      15,.75,.26,14,3,1,9,1,0,0,0,1,0,0,0,4
      15,.8,.47,15,4,2,16,4,0,0,0,0,1,0,0,4
      33,.2,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,4
      33,.64,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,4
      33,.69,-.27,13,2,0,4,0,0,0,1,0,0,1,0,4
      33,.11,.07,15,4,2,16,4,0,0,0,0,1,1,0,4
      45,.11,.26,11,0,-2,0,4,1,0,0,0,0,1,0,4
      45,.37,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,4
      45,.37,.14,13,2,0,4,0,0,0,1,0,0,1,0,4
      45,.37,.14,14,3,1,9,1,0,0,0,1,0,1,0,4
      45,.69,.32,15,4,2,16,4,0,0,0,0,1,1,0,4
      52,.29,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,3
      52,.2,-.01,13,2,0,4,0,0,0,1,0,0,0,0,3
      52,.44,-.01,14,3,1,9,1,0,0,0,1,0,0,0,3
      52,.44,-.17,15,4,2,16,4,0,0,0,0,1,0,0,3
      77,.11,-.27,11,0,-2,0,4,1,0,0,0,0,0,0,4
      77,.2,-.09,12,1,-1,1,1,0,1,0,0,0,0,0,4
      77,.64,-.09,13,2,0,4,0,0,0,1,0,0,0,0,4
      77,.58,.2,14,3,1,9,1,0,0,0,1,0,0,0,4
      77,.8,.26,15,4,2,16,4,0,0,0,0,1,0,0,4
      79,.2,.2,11,0,-2,0,4,1,0,0,0,0,1,0,6
      79,.51,.26,12,1,-1,1,1,0,1,0,0,0,1,0,6
      79,.51,.61,13,2,0,4,0,0,0,1,0,0,1,0,6
      79,.69,.96,14,3,1,9,1,0,0,0,1,0,1,0,6
      79,.94,.98,15,4,2,16,4,0,0,0,0,1,1,0,6
      83,0,.86,11,0,-2,0,4,1,0,0,0,0,0,1,3
      83,.2,-.27,12,1,-1,1,1,0,1,0,0,0,0,1,3
      83,.58,.65,13,2,0,4,0,0,0,1,0,0,0,1,3
      83,.37,-.09,14,3,1,9,1,0,0,0,1,0,0,1,3
      93,0,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,5
      93,0,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,5
      93,0,-.17,13,2,0,4,0,0,0,1,0,0,1,0,5
      93,.2,.07,14,3,1,9,1,0,0,0,1,0,1,0,5
      93,.2,-.09,15,4,2,16,4,0,0,0,0,1,1,0,5
      96,.2,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,7
      96,.29,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,7
      96,.29,-.01,13,2,0,4,0,0,0,1,0,0,1,0,7
      96,.64,.07,14,3,1,9,1,0,0,0,1,0,1,0,7
      96,.51,.14,15,4,2,16,4,0,0,0,0,1,1,0,7
     107,.37,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,9
     107,.51,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,9
     107,.29,-.37,13,2,0,4,0,0,0,1,0,0,1,0,9
     119,.64,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,5
     119,.29,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,5
     119,.51,-.09,13,2,0,4,0,0,0,1,0,0,0,0,5
     119,.58,.26,14,3,1,9,1,0,0,0,1,0,0,0,5
     119,.51,.42,15,4,2,16,4,0,0,0,0,1,0,0,5
     120,.2,.37,11,0,-2,0,4,1,0,0,0,0,0,0,5
     120,.11,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,5
     120,.11,-.17,13,2,0,4,0,0,0,1,0,0,0,0,5
     120,.58,-.01,14,3,1,9,1,0,0,0,1,0,0,0,5
     120,.69,-.09,15,4,2,16,4,0,0,0,0,1,0,0,5
     127,.2,-.06,11,0,-2,0,4,1,0,0,0,0,0,1,2
     127,.2,.14,12,1,-1,1,1,0,1,0,0,0,0,1,2
     127,.2,.42,13,2,0,4,0,0,0,1,0,0,0,1,2
     127,.11,-.01,14,3,1,9,1,0,0,0,1,0,0,1,2
     127,.51,.07,15,4,2,16,4,0,0,0,0,1,0,1,2
     138,0,.47,11,0,-2,0,4,1,0,0,0,0,0,1,2
     138,.29,.2,12,1,-1,1,1,0,1,0,0,0,0,1,2
     138,0,-.01,13,2,0,4,0,0,0,1,0,0,0,1,2
     138,.2,.56,14,3,1,9,1,0,0,0,1,0,0,1,2
     138,.44,.8,15,4,2,16,4,0,0,0,0,1,0,1,2
     141,.11,.2,11,0,-2,0,4,1,0,0,0,0,0,1,2
     141,.29,.68,12,1,-1,1,1,0,1,0,0,0,0,1,2
     141,.69,.42,13,2,0,4,0,0,0,1,0,0,0,1,2
     141,.8,.56,14,3,1,9,1,0,0,0,1,0,0,1,2
     141,.64,.37,15,4,2,16,4,0,0,0,0,1,0,1,2
     152,.37,.14,11,0,-2,0,4,1,0,0,0,0,0,0,10
     152,.29,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,10
     152,.29,-.27,13,2,0,4,0,0,0,1,0,0,0,0,10
     152,.29,-.09,14,3,1,9,1,0,0,0,1,0,0,0,10
     152,.29,-.09,15,4,2,16,4,0,0,0,0,1,0,0,10
     158,.58,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,3
     158,.51,.14,12,1,-1,1,1,0,1,0,0,0,0,0,3
     158,.89,.96,13,2,0,4,0,0,0,1,0,0,0,0,3
     158,.85,.37,15,4,2,16,4,0,0,0,0,1,0,0,3
     159,.11,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,8
     159,.37,.37,12,1,-1,1,1,0,1,0,0,0,1,0,8
     159,.11,.2,13,2,0,4,0,0,0,1,0,0,1,0,8
     159,.11,.32,14,3,1,9,1,0,0,0,1,0,1,0,8
     159,.29,.25,15,4,2,16,4,0,0,0,0,1,1,0,8
     165,0,-.37,11,0,-2,0,4,1,0,0,0,0,1,1,4
     165,.11,-.37,12,1,-1,1,1,0,1,0,0,0,1,1,4
     165,0,-.37,13,2,0,4,0,0,0,1,0,0,1,1,4
     168,.44,.37,11,0,-2,0,4,1,0,0,0,0,0,1,1
     173,.44,.07,12,1,-1,1,1,0,1,0,0,0,0,0,4
     173,.8,.65,13,2,0,4,0,0,0,1,0,0,0,0,4
     173,.8,.42,14,3,1,9,1,0,0,0,1,0,0,0,4
     173,.85,.56,15,4,2,16,4,0,0,0,0,1,0,0,4
     180,.89,.56,13,2,0,4,0,0,0,1,0,0,1,0,2
     180,1.06,.73,14,3,1,9,1,0,0,0,1,0,1,0,2
     180,.94,.61,15,4,2,16,4,0,0,0,0,1,1,0,2
     181,1.13,.56,12,1,-1,1,1,0,1,0,0,0,1,0,2
     181,.94,.61,13,2,0,4,0,0,0,1,0,0,1,0,2
     181,1.17,.93,14,3,1,9,1,0,0,0,1,0,1,0,2
     181,1.2,1.04,15,4,2,16,4,0,0,0,0,1,1,0,2
     186,0,-.27,11,0,-2,0,4,1,0,0,0,0,1,1,1
     186,.11,.26,12,1,-1,1,1,0,1,0,0,0,1,1,1
     186,.37,-.01,13,2,0,4,0,0,0,1,0,0,1,1,1
     186,.11,-.37,14,3,1,9,1,0,0,0,1,0,1,1,1
     186,.51,-.37,15,4,2,16,4,0,0,0,0,1,1,1,1
     189,.2,.14,11,0,-2,0,4,1,0,0,0,0,0,0,3
     189,.29,-.37,13,2,0,4,0,0,0,1,0,0,0,0,3
     189,.11,-.37,14,3,1,9,1,0,0,0,1,0,0,0,3
     189,.44,-.37,15,4,2,16,4,0,0,0,0,1,0,0,3
     190,.44,.26,11,0,-2,0,4,1,0,0,0,0,0,0,1
     190,.44,.14,12,1,-1,1,1,0,1,0,0,0,0,0,1
     190,.51,.32,13,2,0,4,0,0,0,1,0,0,0,0,1
     190,.51,-.01,14,3,1,9,1,0,0,0,1,0,0,0,1
     190,.51,.2,15,4,2,16,4,0,0,0,0,1,0,0,1
     194,0,.14,11,0,-2,0,4,1,0,0,0,0,0,0,5
     198,.37,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,2
     198,.29,-.01,12,1,-1,1,1,0,1,0,0,0,0,0,2
     198,.44,.26,13,2,0,4,0,0,0,1,0,0,0,0,2
     198,.64,.42,14,3,1,9,1,0,0,0,1,0,0,0,2
     198,.8,.2,15,4,2,16,4,0,0,0,0,1,0,0,2
     199,.29,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,3
     199,.2,-.09,12,1,-1,1,1,0,1,0,0,0,1,0,3
     199,.29,.42,13,2,0,4,0,0,0,1,0,0,1,0,3
     199,.64,-.01,14,3,1,9,1,0,0,0,1,0,1,0,3
     199,.51,.26,15,4,2,16,4,0,0,0,0,1,1,0,3
     208,.37,-.27,11,0,-2,0,4,1,0,0,0,0,0,0,3
     208,.37,-.27,13,2,0,4,0,0,0,1,0,0,0,0,3
     208,0,-.27,14,3,1,9,1,0,0,0,1,0,0,0,3
     208,0,-.17,15,4,2,16,4,0,0,0,0,1,0,0,3
     211,0,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,3
     211,0,-.37,12,1,-1,1,1,0,1,0,0,0,0,0,3
     211,0,-.37,13,2,0,4,0,0,0,1,0,0,0,0,3
     211,0,-.37,14,3,1,9,1,0,0,0,1,0,0,0,3
     211,0,-.27,15,4,2,16,4,0,0,0,0,1,0,0,3
     218,.11,-.06,12,1,-1,1,1,0,1,0,0,0,1,0,6
     218,.51,-.01,13,2,0,4,0,0,0,1,0,0,1,0,6
     218,.69,-.01,14,3,1,9,1,0,0,0,1,0,1,0,6
     218,.89,.2,15,4,2,16,4,0,0,0,0,1,1,0,6
     231,.11,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,5
     231,0,-.37,12,1,-1,1,1,0,1,0,0,0,1,0,5
     237,.44,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,2
     237,.44,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,2
     237,.29,-.27,13,2,0,4,0,0,0,1,0,0,0,0,2
     237,.69,-.01,14,3,1,9,1,0,0,0,1,0,0,0,2
     237,.75,-.09,15,4,2,16,4,0,0,0,0,1,0,0,2
     244,0,-.27,11,0,-2,0,4,1,0,0,0,0,1,1,2
     244,.2,-.27,12,1,-1,1,1,0,1,0,0,0,1,1,2
     244,0,-.27,13,2,0,4,0,0,0,1,0,0,1,1,2
     244,0,-.37,14,3,1,9,1,0,0,0,1,0,1,1,2
     244,.37,-.37,15,4,2,16,4,0,0,0,0,1,1,1,2
     246,.8,.26,13,2,0,4,0,0,0,1,0,0,0,0,5
     246,.58,.2,14,3,1,9,1,0,0,0,1,0,0,0,5
     246,.29,.14,15,4,2,16,4,0,0,0,0,1,0,0,5
     249,.11,-.37,11,0,-2,0,4,1,0,0,0,0,0,1,4
     249,.11,-.09,12,1,-1,1,1,0,1,0,0,0,0,1,4
     249,0,-.17,13,2,0,4,0,0,0,1,0,0,0,1,4
     249,.37,-.17,14,3,1,9,1,0,0,0,1,0,0,1,4
     249,.75,-.17,15,4,2,16,4,0,0,0,0,1,0,1,4
     259,0,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,6
     259,.11,.19,12,1,-1,1,1,0,1,0,0,0,0,0,6
     259,.64,.2,13,2,0,4,0,0,0,1,0,0,0,0,6
     259,.69,.2,14,3,1,9,1,0,0,0,1,0,0,0,6
     259,.69,-.01,15,4,2,16,4,0,0,0,0,1,0,0,6
     262,.2,-.01,11,0,-2,0,4,1,0,0,0,0,0,0,5
     262,.11,-.37,12,1,-1,1,1,0,1,0,0,0,0,0,5
     262,.2,-.37,13,2,0,4,0,0,0,1,0,0,0,0,5
     262,.69,-.37,14,3,1,9,1,0,0,0,1,0,0,0,5
     262,.29,-.37,15,4,2,16,4,0,0,0,0,1,0,0,5
     266,.37,-.37,11,0,-2,0,4,1,0,0,0,0,0,0,5
     266,0,-.09,12,1,-1,1,1,0,1,0,0,0,0,0,5
     266,.29,-.09,13,2,0,4,0,0,0,1,0,0,0,0,5
     266,.69,-.01,14,3,1,9,1,0,0,0,1,0,0,0,5
     266,.75,.14,15,4,2,16,4,0,0,0,0,1,0,0,5
     268,.37,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,6
     268,.29,-.09,12,1,-1,1,1,0,1,0,0,0,1,0,6
     268,.69,-.01,13,2,0,4,0,0,0,1,0,0,1,0,6
     268,.58,-.17,14,3,1,9,1,0,0,0,1,0,1,0,6
     268,.29,-.01,15,4,2,16,4,0,0,0,0,1,1,0,6
     281,.29,-.01,11,0,-2,0,4,1,0,0,0,0,0,0,5
     281,.37,.32,13,2,0,4,0,0,0,1,0,0,0,0,5
     281,.51,.14,14,3,1,9,1,0,0,0,1,0,0,0,5
     281,.64,-.01,15,4,2,16,4,0,0,0,0,1,0,0,5
     297,0,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,3
     314,.2,-.27,11,0,-2,0,4,1,0,0,0,0,0,0,10
     314,.2,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,10
     314,.44,-.27,13,2,0,4,0,0,0,1,0,0,0,0,10
     314,.11,-.09,14,3,1,9,1,0,0,0,1,0,0,0,10
     314,.11,-.17,15,4,2,16,4,0,0,0,0,1,0,0,10
     330,.29,-.01,11,0,-2,0,4,1,0,0,0,0,0,1,2
     330,.37,.2,12,1,-1,1,1,0,1,0,0,0,0,1,2
     330,0,-.17,13,2,0,4,0,0,0,1,0,0,0,1,2
     330,.51,.2,15,4,2,16,4,0,0,0,0,1,0,1,2
     334,0,-.17,12,1,-1,1,1,0,1,0,0,0,1,1,1
     334,.11,-.27,13,2,0,4,0,0,0,1,0,0,1,1,1
     334,0,-.17,14,3,1,9,1,0,0,0,1,0,1,1,1
     334,0,-.37,15,4,2,16,4,0,0,0,0,1,1,1,1
     361,.44,.26,13,2,0,4,0,0,0,1,0,0,0,0,4
     361,.44,-.09,14,3,1,9,1,0,0,0,1,0,0,0,4
     361,.8,.69,15,4,2,16,4,0,0,0,0,1,0,0,4
     362,.11,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,4
     362,.37,-.09,12,1,-1,1,1,0,1,0,0,0,0,0,4
     362,0,-.17,13,2,0,4,0,0,0,1,0,0,0,0,4
     362,0,-.27,14,3,1,9,1,0,0,0,1,0,0,0,4
     362,0,-.37,15,4,2,16,4,0,0,0,0,1,0,0,4
     363,0,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,4
     363,.11,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,4
     363,0,.07,13,2,0,4,0,0,0,1,0,0,1,0,4
     363,.11,-.01,14,3,1,9,1,0,0,0,1,0,1,0,4
     363,0,-.37,15,4,2,16,4,0,0,0,0,1,1,0,4
     368,.29,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,2
     368,.11,-.17,13,2,0,4,0,0,0,1,0,0,1,0,2
     368,0,.73,14,3,1,9,1,0,0,0,1,0,1,0,2
     368,.2,.26,15,4,2,16,4,0,0,0,0,1,1,0,2
     369,.51,-.06,11,0,-2,0,4,1,0,0,0,0,1,0,2
     369,.37,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,2
     369,.69,-.17,13,2,0,4,0,0,0,1,0,0,1,0,2
     369,.69,.47,15,4,2,16,4,0,0,0,0,1,1,0,2
     374,0,.07,11,0,-2,0,4,1,0,0,0,0,1,0,5
     385,.37,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,5
     385,.2,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,5
     385,.37,-.27,13,2,0,4,0,0,0,1,0,0,1,0,5
     385,.64,-.17,14,3,1,9,1,0,0,0,1,0,1,0,5
     385,.69,-.01,15,4,2,16,4,0,0,0,0,1,1,0,5
     387,.29,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,10
     387,.44,.14,12,1,-1,1,1,0,1,0,0,0,1,0,10
     387,.69,.2,13,2,0,4,0,0,0,1,0,0,1,0,10
     387,.94,.2,14,3,1,9,1,0,0,0,1,0,1,0,10
     387,.75,.14,15,4,2,16,4,0,0,0,0,1,1,0,10
     396,.44,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,5
     396,.44,-.01,12,1,-1,1,1,0,1,0,0,0,1,0,5
     396,.37,.07,13,2,0,4,0,0,0,1,0,0,1,0,5
     396,.44,.14,14,3,1,9,1,0,0,0,1,0,1,0,5
     396,.29,-.01,15,4,2,16,4,0,0,0,0,1,1,0,5
     398,.44,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,5
     398,.44,-.09,13,2,0,4,0,0,0,1,0,0,1,0,5
     398,.44,.07,14,3,1,9,1,0,0,0,1,0,1,0,5
     398,.51,-.01,15,4,2,16,4,0,0,0,0,1,1,0,5
     400,.2,-.27,11,0,-2,0,4,1,0,0,0,0,0,0,6
     400,.29,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,6
     400,.37,-.27,13,2,0,4,0,0,0,1,0,0,0,0,6
     400,.29,-.01,14,3,1,9,1,0,0,0,1,0,0,0,6
     400,.44,-.09,15,4,2,16,4,0,0,0,0,1,0,0,6
     411,.2,.07,11,0,-2,0,4,1,0,0,0,0,0,0,3
     411,.12,-.01,12,1,-1,1,1,0,1,0,0,0,0,0,3
     411,.37,-.01,13,2,0,4,0,0,0,1,0,0,0,0,3
     411,.69,.42,14,3,1,9,1,0,0,0,1,0,0,0,3
     411,.75,.47,15,4,2,16,4,0,0,0,0,1,0,0,3
     419,.29,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,4
     419,0,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,4
     419,.11,-.09,13,2,0,4,0,0,0,1,0,0,0,0,4
     419,.69,.32,14,3,1,9,1,0,0,0,1,0,0,0,4
     419,.69,.37,15,4,2,16,4,0,0,0,0,1,0,0,4
     422,.2,.03,11,0,-2,0,4,1,0,0,0,0,1,0,5
     422,.11,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,5
     422,.44,-.01,13,2,0,4,0,0,0,1,0,0,1,0,5
     422,.29,.2,14,3,1,9,1,0,0,0,1,0,1,0,5
     422,.51,.26,15,4,2,16,4,0,0,0,0,1,1,0,5
     424,.44,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,2
     424,.2,-.09,12,1,-1,1,1,0,1,0,0,0,1,0,2
     424,.69,.42,13,2,0,4,0,0,0,1,0,0,1,0,2
     424,1.17,.56,14,3,1,9,1,0,0,0,1,0,1,0,2
     424,1.06,.52,15,4,2,16,4,0,0,0,0,1,1,0,2
     434,.51,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,5
     434,.51,-.09,12,1,-1,1,1,0,1,0,0,0,0,0,5
     434,.69,-.01,13,2,0,4,0,0,0,1,0,0,0,0,5
     434,.85,.37,14,3,1,9,1,0,0,0,1,0,0,0,5
     434,.8,.42,15,4,2,16,4,0,0,0,0,1,0,0,5
     442,.37,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,5
     442,.69,.07,12,1,-1,1,1,0,1,0,0,0,0,0,5
     442,.37,.14,13,2,0,4,0,0,0,1,0,0,0,0,5
     442,.51,.37,14,3,1,9,1,0,0,0,1,0,0,0,5
     442,.64,.14,15,4,2,16,4,0,0,0,0,1,0,0,5
     453,.51,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,2
     453,.51,.26,13,2,0,4,0,0,0,1,0,0,0,0,2
     453,.44,.65,14,3,1,9,1,0,0,0,1,0,0,0,2
     453,.8,.76,15,4,2,16,4,0,0,0,0,1,0,0,2
     454,.44,.26,11,0,-2,0,4,1,0,0,0,0,1,0,2
     454,.94,.61,12,1,-1,1,1,0,1,0,0,0,1,0,2
     454,.75,.52,13,2,0,4,0,0,0,1,0,0,1,0,2
     454,.58,.56,14,3,1,9,1,0,0,0,1,0,1,0,2
     454,1.02,.73,15,4,2,16,4,0,0,0,0,1,1,0,2
     459,.29,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,9
     459,.2,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,9
     459,.44,.07,13,2,0,4,0,0,0,1,0,0,0,0,9
     459,.58,-.01,14,3,1,9,1,0,0,0,1,0,0,0,9
     459,.29,-.01,15,4,2,16,4,0,0,0,0,1,0,0,9
     468,.44,.2,11,0,-2,0,4,1,0,0,0,0,0,0,7
     468,.44,.26,13,2,0,4,0,0,0,1,0,0,0,0,7
     468,.11,.26,14,3,1,9,1,0,0,0,1,0,0,0,7
     468,.69,.2,15,4,2,16,4,0,0,0,0,1,0,0,7
     473,.2,.65,11,0,-2,0,4,1,0,0,0,0,0,0,4
     473,0,.61,12,1,-1,1,1,0,1,0,0,0,0,0,4
     473,.29,.2,13,2,0,4,0,0,0,1,0,0,0,0,4
     473,.2,-.17,14,3,1,9,1,0,0,0,1,0,0,0,4
     473,.37,.32,15,4,2,16,4,0,0,0,0,1,0,0,4
     488,.29,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,3
     488,.2,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,3
     488,.11,-.27,13,2,0,4,0,0,0,1,0,0,1,0,3
     488,.11,-.27,14,3,1,9,1,0,0,0,1,0,1,0,3
     488,.11,-.09,15,4,2,16,4,0,0,0,0,1,1,0,3
     514,.29,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,5
     514,.51,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,5
     514,.8,-.17,13,2,0,4,0,0,0,1,0,0,1,0,5
     514,.75,-.17,14,3,1,9,1,0,0,0,1,0,1,0,5
     514,.89,.14,15,4,2,16,4,0,0,0,0,1,1,0,5
     520,.11,.86,11,0,-2,0,4,1,0,0,0,0,0,0,2
     520,.11,.26,12,1,-1,1,1,0,1,0,0,0,0,0,2
     520,.44,.19,13,2,0,4,0,0,0,1,0,0,0,0,2
     520,.51,.32,14,3,1,9,1,0,0,0,1,0,0,0,2
     520,.69,.83,15,4,2,16,4,0,0,0,0,1,0,0,2
     522,.2,-.27,11,0,-2,0,4,1,0,0,0,0,1,1,4
     522,.11,-.01,12,1,-1,1,1,0,1,0,0,0,1,1,4
     522,.2,-.27,13,2,0,4,0,0,0,1,0,0,1,1,4
     522,.69,-.27,14,3,1,9,1,0,0,0,1,0,1,1,4
     522,.69,-.01,15,4,2,16,4,0,0,0,0,1,1,1,4
     528,.11,.32,11,0,-2,0,4,1,0,0,0,0,0,0,8
     528,0,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,8
     528,0,-.27,13,2,0,4,0,0,0,1,0,0,0,0,8
     528,.37,-.09,14,3,1,9,1,0,0,0,1,0,0,0,8
     528,.51,.11,15,4,2,16,4,0,0,0,0,1,0,0,8
     529,0,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,10
     529,0,-.37,12,1,-1,1,1,0,1,0,0,0,1,0,10
     529,.2,-.27,13,2,0,4,0,0,0,1,0,0,1,0,10
     529,.2,-.27,14,3,1,9,1,0,0,0,1,0,1,0,10
     529,.2,-.17,15,4,2,16,4,0,0,0,0,1,1,0,10
     536,.2,-.27,11,0,-2,0,4,1,0,0,0,0,1,1,1
     536,.29,-.17,12,1,-1,1,1,0,1,0,0,0,1,1,1
     536,.11,-.37,13,2,0,4,0,0,0,1,0,0,1,1,1
     536,.2,-.27,14,3,1,9,1,0,0,0,1,0,1,1,1
     536,.2,-.37,15,4,2,16,4,0,0,0,0,1,1,1,1
     553,.2,-.37,13,2,0,4,0,0,0,1,0,0,1,1,2
     553,.2,-.09,14,3,1,9,1,0,0,0,1,0,1,1,2
     555,.29,-.17,11,0,-2,0,4,1,0,0,0,0,1,1,1
     555,.2,-.37,13,2,0,4,0,0,0,1,0,0,1,1,1
     555,.2,-.37,14,3,1,9,1,0,0,0,1,0,1,1,1
     555,.11,-.27,15,4,2,16,4,0,0,0,0,1,1,1,1
     558,.29,.56,13,2,0,4,0,0,0,1,0,0,1,0,2
     558,.11,.14,14,3,1,9,1,0,0,0,1,0,1,0,2
     561,.11,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,7
     561,.37,.2,12,1,-1,1,1,0,1,0,0,0,0,0,7
     561,1.2,.61,13,2,0,4,0,0,0,1,0,0,0,0,7
     561,.8,.07,14,3,1,9,1,0,0,0,1,0,0,0,7
     561,.85,.32,15,4,2,16,4,0,0,0,0,1,0,0,7
