teacherID,time,proximity,female,timeSQ,TIME0,TIME1,TIME2,TIME3
1,0,.41,1,0,1,0,0,0
1,1,1.05,1,1,0,1,0,0
1,3,.91,1,9,0,0,0,1
2,0,.64,0,0,1,0,0,0
3,0,1.13,1,0,1,0,0,0
3,2,1.35,1,4,0,0,1,0
4,1,-.4,0,1,0,1,0,0
4,2,.27,0,4,0,0,1,0
4,3,.26,0,9,0,0,0,1
5,0,1.02,1,0,1,0,0,0
5,1,.87,1,1,0,1,0,0
5,2,.98,1,4,0,0,1,0
5,3,.97,1,9,0,0,0,1
6,0,.22,1,0,1,0,0,0
6,1,.29,1,1,0,1,0,0
6,2,.83,1,4,0,0,1,0
6,3,.54,1,9,0,0,0,1
7,2,.33,1,4,0,0,1,0
7,3,.68,1,9,0,0,0,1
8,0,.81,0,0,1,0,0,0
8,1,.77,0,1,0,1,0,0
8,2,.88,0,4,0,0,1,0
8,3,.88,0,9,0,0,0,1
9,0,.32,0,0,1,0,0,0
9,1,.83,0,1,0,1,0,0
9,2,.01,0,4,0,0,1,0
9,3,.2,0,9,0,0,0,1
10,0,.12,0,0,1,0,0,0
10,1,-.13,0,1,0,1,0,0
10,2,.2,0,4,0,0,1,0
10,3,.31,0,9,0,0,0,1
11,0,1.11,0,0,1,0,0,0
11,1,.78,0,1,0,1,0,0
11,2,.83,0,4,0,0,1,0
12,0,-.62,0,0,1,0,0,0
12,1,-.36,0,1,0,1,0,0
12,2,.24,0,4,0,0,1,0
13,0,-.46,0,0,1,0,0,0
13,1,.33,0,1,0,1,0,0
13,2,.22,0,4,0,0,1,0
13,3,.43,0,9,0,0,0,1
14,0,.62,0,0,1,0,0,0
14,1,.4,0,1,0,1,0,0
14,2,.18,0,4,0,0,1,0
14,3,.16,0,9,0,0,0,1
15,0,-.52,1,0,1,0,0,0
15,1,.76,1,1,0,1,0,0
15,2,.82,1,4,0,0,1,0
16,0,-.91,1,0,1,0,0,0
16,2,-.1,1,4,0,0,1,0
17,0,.41,0,0,1,0,0,0
17,1,.15,0,1,0,1,0,0
17,3,.22,0,9,0,0,0,1
18,0,-.26,0,0,1,0,0,0
18,1,.5,0,1,0,1,0,0
18,2,.43,0,4,0,0,1,0
19,0,1.21,0,0,1,0,0,0
19,1,.48,0,1,0,1,0,0
19,2,.62,0,4,0,0,1,0
20,0,.94,0,0,1,0,0,0
20,1,1.01,0,1,0,1,0,0
20,2,.73,0,4,0,0,1,0
20,3,1,0,9,0,0,0,1
21,0,.3,0,0,1,0,0,0
21,1,.85,0,1,0,1,0,0
21,2,.59,0,4,0,0,1,0
21,3,.74,0,9,0,0,0,1
22,0,.38,0,0,1,0,0,0
22,1,.8,0,1,0,1,0,0
22,2,.8,0,4,0,0,1,0
22,3,.93,0,9,0,0,0,1
23,0,.59,0,0,1,0,0,0
23,1,.8,0,1,0,1,0,0
23,2,.64,0,4,0,0,1,0
23,3,.51,0,9,0,0,0,1
24,0,.7,1,0,1,0,0,0
24,1,1.22,1,1,0,1,0,0
25,0,.17,0,0,1,0,0,0
25,1,.82,0,1,0,1,0,0
25,2,.58,0,4,0,0,1,0
25,3,.7,0,9,0,0,0,1
26,1,1.1,0,1,0,1,0,0
26,2,.97,0,4,0,0,1,0
26,3,1.06,0,9,0,0,0,1
27,0,1.41,0,0,1,0,0,0
27,1,1.4,0,1,0,1,0,0
27,2,.48,0,4,0,0,1,0
28,0,.9,1,0,1,0,0,0
28,1,.98,1,1,0,1,0,0
28,2,.84,1,4,0,0,1,0
28,3,.79,1,9,0,0,0,1
29,0,.67,0,0,1,0,0,0
29,1,1,0,1,0,1,0,0
29,2,.98,0,4,0,0,1,0
30,0,.69,0,0,1,0,0,0
30,3,.3,0,9,0,0,0,1
31,1,1.02,0,1,0,1,0,0
31,2,.82,0,4,0,0,1,0
31,3,1.07,0,9,0,0,0,1
32,0,1.21,0,0,1,0,0,0
32,1,.89,0,1,0,1,0,0
33,0,1.17,0,0,1,0,0,0
33,1,1.15,0,1,0,1,0,0
33,3,.28,0,9,0,0,0,1
34,0,1.04,0,0,1,0,0,0
34,1,.85,0,1,0,1,0,0
34,3,.56,0,9,0,0,0,1
35,0,1.22,0,0,1,0,0,0
35,2,1.14,0,4,0,0,1,0
36,0,.63,0,0,1,0,0,0
36,1,.99,0,1,0,1,0,0
37,0,.99,0,0,1,0,0,0
37,1,.71,0,1,0,1,0,0
37,3,.99,0,9,0,0,0,1
38,0,.51,1,0,1,0,0,0
38,2,.59,1,4,0,0,1,0
38,3,.33,1,9,0,0,0,1
39,0,-.02,0,0,1,0,0,0
39,1,.3,0,1,0,1,0,0
39,2,.63,0,4,0,0,1,0
39,3,.11,0,9,0,0,0,1
40,0,.36,1,0,1,0,0,0
40,3,.28,1,9,0,0,0,1
41,0,.37,0,0,1,0,0,0
41,2,.21,0,4,0,0,1,0
41,3,.03,0,9,0,0,0,1
42,0,.86,0,0,1,0,0,0
42,1,.77,0,1,0,1,0,0
42,3,1.01,0,9,0,0,0,1
43,0,.23,0,0,1,0,0,0
43,1,.44,0,1,0,1,0,0
43,2,.06,0,4,0,0,1,0
44,0,1.02,0,0,1,0,0,0
44,2,.78,0,4,0,0,1,0
44,3,1,0,9,0,0,0,1
45,3,.68,0,9,0,0,0,1
46,0,.92,0,0,1,0,0,0
46,2,.97,0,4,0,0,1,0
46,3,.91,0,9,0,0,0,1
47,0,.73,1,0,1,0,0,0
48,0,.63,1,0,1,0,0,0
48,1,.62,1,1,0,1,0,0
48,2,.62,1,4,0,0,1,0
48,3,.55,1,9,0,0,0,1
49,0,.66,0,0,1,0,0,0
49,1,.96,0,1,0,1,0,0
49,2,.94,0,4,0,0,1,0
50,0,.92,1,0,1,0,0,0
50,1,.91,1,1,0,1,0,0
50,2,.92,1,4,0,0,1,0
51,0,1.53,0,0,1,0,0,0
51,1,1.6,0,1,0,1,0,0
51,2,1.44,0,4,0,0,1,0
